# map seed success status cycles time_ms start_nodes goal_nodes path_nodes
# status: 0=PASS 1=TIMEOUT 2=X_PROPAGATION 3=PATH_CHECK_FAIL
2 42 1 0 695291 2.294460300 804 1794 103
2 43 1 0 661151 2.181798300 1631 1890 85
2 44 1 0 382528 1.262342400 428 500 84
2 45 1 0 471421 1.555689300 652 1065 95
2 46 1 0 359758 1.187201400 322 529 74
2 47 1 0 670454 2.212498200 1583 1522 104
2 48 1 0 519158 1.713221400 676 1393 82
2 49 1 0 723671 2.388114300 1896 1748 97
2 50 1 0 456186 1.505413800 596 790 71
2 51 1 0 405881 1.339407300 465 737 75
2 52 1 0 730956 2.412154800 1122 1399 99
2 53 1 0 510068 1.683224400 673 484 81
2 54 1 0 560429 1.849415700 856 1125 77
2 55 1 0 375531 1.239252300 371 600 76
2 56 1 0 278816 0.920092800 446 313 73
2 57 1 0 728608 2.404406400 1467 2515 75
2 58 1 0 561595 1.853263500 1025 1436 72
2 59 1 0 694234 2.290972200 1264 1367 86
2 60 1 0 750780 2.477574000 1128 1430 96
2 61 1 0 508856 1.679224800 662 1567 81
2 62 1 0 295018 0.973559400 254 333 76
2 63 1 0 781785 2.579890500 846 3526 82
2 64 1 0 677153 2.234604900 758 1183 81
2 65 1 0 561133 1.851738900 927 1463 103
2 66 1 0 665172 2.195067600 612 2426 85
2 67 1 0 360131 1.188432300 389 491 78
2 68 1 0 496540 1.638582000 362 1652 85
2 69 1 0 441878 1.458197400 529 648 71
2 70 1 0 328975 1.085617500 333 638 70
2 71 1 0 465749 1.536971700 731 1237 84
2 72 1 0 555595 1.833463500 736 1962 82
2 73 1 0 482165 1.591144500 704 1021 78
2 74 1 0 356309 1.175819700 317 546 72
2 75 1 0 465127 1.534919100 662 1860 78
2 76 1 0 397548 1.311908400 457 685 84
2 77 1 0 496186 1.637413800 713 1082 70
2 78 1 0 656548 2.166608400 604 1359 88
2 79 1 0 661718 2.183669400 1023 1673 83
2 80 1 0 493290 1.627857000 782 2052 86
2 81 1 0 705847 2.329295100 1160 2393 86
2 82 1 0 579957 1.913858100 814 1867 74
2 83 1 0 605542 1.998288600 793 1461 85
2 84 1 0 391494 1.291930200 410 995 75
2 85 1 0 365569 1.206377700 569 730 73
2 86 1 0 626469 2.067347700 914 1676 94
2 87 1 0 681348 2.248448400 1231 1454 79
2 88 1 0 346714 1.144156200 380 456 77
2 89 1 0 596379 1.968050700 710 1176 84
2 90 1 0 495622 1.635552600 713 865 81
2 91 1 0 538597 1.777370100 435 1127 76
3 42 1 0 418224 1.380139200 571 538 70
3 43 1 0 501577 1.655204100 945 1264 78
3 44 1 0 559779 1.847270700 927 725 82
3 45 1 0 512090 1.689897000 1221 638 83
3 46 1 0 666121 2.198199300 873 1225 72
3 47 1 0 594924 1.963249200 1554 1602 70
3 48 1 0 397827 1.312829100 480 235 67
3 49 1 0 443689 1.464173700 546 973 69
3 50 1 0 684221 2.257929300 1429 1409 99
3 51 1 0 556836 1.837558800 1656 630 90
3 52 1 0 277096 0.914416800 480 244 66
3 53 1 0 662982 2.187840600 1698 1116 86
3 54 1 0 419900 1.385670000 485 989 74
3 55 1 0 583216 1.924612800 1074 1237 92
3 56 1 0 307248 1.013918400 169 370 66
3 57 1 0 535101 1.765833300 713 403 89
3 58 1 0 509942 1.682808600 919 900 72
3 59 1 0 294397 0.971510100 401 250 62
3 60 1 0 556993 1.838076900 1419 1119 77
3 61 1 0 421418 1.390679400 744 253 84
3 62 1 0 652060 2.151798000 1282 1271 80
3 63 1 0 447181 1.475697300 537 866 80
3 64 1 0 481092 1.587603600 1041 532 75
3 65 1 0 408398 1.347713400 431 577 74
3 66 1 0 411373 1.357530900 399 358 79
3 67 1 0 671831 2.217042300 905 969 91
3 68 1 0 479686 1.582963800 889 771 72
3 69 1 0 436459 1.440314700 930 327 79
3 70 1 0 740086 2.442283800 1606 2549 88
3 71 1 0 477919 1.577132700 384 888 74
3 72 1 0 408697 1.348700100 358 360 76
3 73 1 0 703083 2.320173900 1266 1291 93
3 74 1 0 586306 1.934809800 1067 1578 78
3 75 1 0 510863 1.685847900 554 855 81
3 76 1 0 546858 1.804631400 661 823 75
3 77 1 0 371412 1.225659600 249 376 65
3 78 1 0 1267371 4.182324300 8021 70 93
3 79 1 0 573950 1.894035000 907 288 78
3 80 1 0 612027 2.019689100 1162 867 76
3 81 1 0 681324 2.248369200 1317 2232 76
3 82 1 0 467833 1.543848900 1062 577 71
3 83 1 0 374254 1.235038200 671 554 68
3 84 1 0 493354 1.628068200 424 1673 81
3 85 1 0 435758 1.438001400 596 581 83
3 86 1 0 526456 1.737304800 899 2431 104
3 87 1 0 532036 1.755718800 668 363 78
3 88 1 0 393631 1.298982300 863 494 78
3 89 1 0 450167 1.485551100 539 702 79
3 90 1 0 612454 2.021098200 1115 871 93
3 91 1 0 478741 1.579845300 437 686 73
4 42 1 0 480429 1.585415700 542 1046 77
4 43 1 0 708724 2.338789200 1320 1115 76
4 44 1 0 548223 1.809135900 962 1017 84
4 45 1 0 943497 3.113540100 1209 2957 80
4 46 1 0 472196 1.558246800 412 752 72
4 47 1 0 302876 0.999490800 372 452 75
4 48 1 0 706204 2.330473200 1854 1393 81
4 49 1 0 560998 1.851293400 888 1863 85
4 50 1 0 512914 1.692616200 1452 533 64
4 51 1 0 656027 2.164889100 1148 1419 89
4 52 1 0 466170 1.538361000 655 529 83
4 53 1 0 703127 2.320319100 1294 1693 107
4 54 1 0 579134 1.911142200 864 1344 85
4 55 1 0 569086 1.877983800 1907 1734 79
4 56 1 0 563860 1.860738000 736 950 82
4 57 1 0 737992 2.435373600 2379 1101 98
4 58 1 0 396489 1.308413700 307 865 76
4 59 1 0 547212 1.805799600 525 917 83
4 60 1 0 339322 1.119762600 475 568 66
4 61 1 0 481686 1.589563800 1473 1589 91
4 62 1 0 527397 1.740410100 1243 1133 69
4 63 1 0 745538 2.460275400 2234 2716 103
4 64 1 0 987498 3.258743400 1744 3421 105
4 65 1 0 557956 1.841254800 1653 894 99
4 66 1 0 249586 0.823633800 257 365 77
4 67 1 0 728559 2.404244700 1208 1849 97
4 68 1 0 600716 1.982362800 853 1340 85
4 69 1 0 477063 1.574307900 550 1146 78
4 70 1 0 464163 1.531737900 358 1205 76
4 71 1 0 484320 1.598256000 418 1138 76
4 72 1 0 675741 2.229945300 941 2952 92
4 73 1 0 510185 1.683610500 2123 1933 107
4 74 1 0 499656 1.648864800 373 1512 79
4 75 1 0 492870 1.626471000 1363 615 92
4 76 1 0 668505 2.206066500 1554 1845 87
4 77 1 0 459310 1.515723000 1327 601 69
4 78 1 0 457566 1.509967800 577 1026 74
4 79 1 0 671771 2.216844300 1075 1969 97
4 80 1 0 659423 2.176095900 1679 850 85
4 81 1 0 566340 1.868922000 1388 1539 103
4 82 1 0 318763 1.051917900 253 650 80
4 83 1 0 464376 1.532440800 542 1565 89
4 84 1 0 540949 1.785131700 1257 2141 88
4 85 1 0 682938 2.253695400 727 2589 84
4 86 1 0 627426 2.070505800 934 1870 87
4 87 1 0 481146 1.587781800 604 638 84
4 88 1 0 675290 2.228457000 1914 2079 98
4 89 1 0 457539 1.509878700 1049 699 83
4 90 1 0 335229 1.106255700 714 429 70
4 91 1 0 572657 1.889768100 2192 696 100
5 42 1 0 604249 1.994021700 786 1126 75
5 43 1 0 411208 1.356986400 410 460 76
5 44 1 0 268831 0.887142300 137 352 75
5 45 1 0 510289 1.683953700 514 672 73
5 46 1 0 360190 1.188627000 404 414 72
5 47 1 0 348687 1.150667100 199 618 68
5 48 1 0 404533 1.334958900 295 583 72
5 49 1 0 496444 1.638265200 281 821 71
5 50 1 0 474745 1.566658500 313 1924 71
5 51 1 0 662957 2.187758100 977 755 73
5 52 1 0 438085 1.445680500 443 1010 66
5 53 1 0 422254 1.393438200 316 844 73
5 54 1 0 330352 1.090161600 218 547 66
5 55 1 0 473251 1.561728300 549 705 84
5 56 1 0 719166 2.373247800 415 2190 75
5 57 1 0 604817 1.995896100 862 1044 88
5 58 1 0 400178 1.320587400 279 537 65
5 59 1 0 535858 1.768331400 428 1523 78
5 60 1 0 317028 1.046192400 279 947 69
5 61 1 0 464826 1.533925800 263 913 73
5 62 1 0 517643 1.708221900 686 624 85
